model,dataset_size,dataset,fold,carte_lr_idx,test_score,best_val_loss,Created
CARTE 🗺️,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,0,1.0,0.8233946738016087,"[-0.7911261320114136,-0.7926753759384155,-0.7970527410507202,-0.8011573553085327,-0.8072666525840759]",2025-04-25T22:13:36.000Z
CARTE 🗺️,10000,MUL_FOOD_WINE_REVIEW,3,1.0,0.9657934957539924,"[-0.9390371441841124,-0.9333205223083496,-0.9353676438331604,-0.9396020770072936,-0.9408336281776428]",2025-04-25T21:59:23.000Z
CARTE 🗺️,10000,MUL_FOOD_WINE_REVIEW,2,1.0,0.9591776412973668,"[-0.9312369227409364,-0.9361658692359924,-0.931610643863678,-0.9324132800102234,-0.939918577671051]",2025-04-25T21:53:38.000Z
CARTE 🗺️,10000,MUL_FOOD_WINE_REVIEW,1,1.0,0.9613856421043198,"[-0.9372875690460204,-0.9391250014305116,-0.9287493228912354,-0.9310092926025392,-0.9329979419708252]",2025-04-25T21:48:28.000Z
CARTE 🗺️,10000,MUL_FOOD_WINE_REVIEW,0,1.0,0.9548531177759484,"[-0.931432008743286,-0.9254946112632751,-0.9374900460243224,-0.9384962916374208,-0.939413607120514]",2025-04-25T21:47:42.000Z
CARTE 🗺️,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,3,1.0,0.8862742873542935,"[-0.8766666650772095,-0.8771991729736328,-0.8865642547607422,-0.8701574206352234,-0.892331063747406]",2025-04-25T21:24:31.000Z
CARTE 🗺️,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,2,1.0,0.9036460498822708,"[-0.8744791150093079,-0.8885149359703064,-0.8883445858955383,-0.8862945437431335,-0.879886269569397]",2025-04-25T21:18:32.000Z
CARTE 🗺️,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,1,1.0,0.904729576586634,"[-0.8898321986198425,-0.867955207824707,-0.8798086047172546,-0.8747568130493164,-0.8874210715293884]",2025-04-25T21:15:51.000Z
CARTE 🗺️,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,0,1.0,0.8917409926390437,"[-0.8731651306152344,-0.8797277808189392,-0.8783101439476013,-0.8773624300956726,-0.8851259350776672]",2025-04-25T21:15:15.000Z
CARTE 🗺️,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,3,1.0,0.8745774208539394,"[-0.8693351149559021,-0.8749066591262817,-0.7727777361869812,-0.8684024810791016,-0.8780574798583984]",2025-04-25T21:06:24.000Z
